Model,Ram,count,avg_price,avg_mrp,avg_number_of_ratings,min_star_rating,max_star_rating,min_price,max_price,min_mrp,max_mrp,min_discount_percentage,max_discount_percentage
APPLE iPhone 11,4 GB,7,50428,57043,43538,4.6,4.6,46999,54999,54900,59900,8,14
APPLE iPhone 11 Pro,4 GB,4,102675,127125,7086,4.6,4.6,74999,117900,106600,140300,15,29
APPLE iPhone 11 Pro Max,4 GB,5,123020,123020,1078,4.7,4.7,117100,131900,117100,131900,0,0
APPLE iPhone 12,6 GB,7,74471,83471,2098,4.6,4.6,70900,75900,79900,84900,10,11
APPLE iPhone 12 Mini,4 GB,5,62900,72900,736,4.5,4.5,59900,64900,69900,74900,13,14
APPLE iPhone 12 Mini,6 GB,1,59900,69900,740,4.5,4.5,59900,59900,69900,69900,14,14
APPLE iPhone 12 Pro,4 GB,2,140900,149900,544,4.5,4.5,140900,140900,149900,149900,6,6
APPLE iPhone 12 Pro,6 GB,3,114233,123233,545,4.5,4.5,110900,120900,119900,129900,6,7
APPLE iPhone 12 Pro Max,6 GB,8,125900,134900,580,4.6,4.6,120900,130900,129900,139900,6,6
APPLE iPhone 8,2 GB,3,77000,77000,11202,4.5,4.5,77000,77000,77000,77000,0,0
APPLE iPhone 8 Plus,2 GB,5,63900,63900,3431,4.6,4.6,49900,84900,49900,84900,0,0
APPLE iPhone SE,2 GB,4,33749,43650,95858,4.5,4.5,29999,34999,39900,44900,22,24
APPLE iPhone SE,4 GB,1,29999,39900,95909,4.5,4.5,29999,29999,39900,39900,24,24
APPLE iPhone XS Max,4 GB,1,89900,89900,1454,4.6,4.6,89900,89900,89900,89900,0,0
Apple iPhone SE,2 GB,1,44999,54900,95909,4.5,4.5,44999,44999,54900,54900,18,18
Apple iPhone XR,3 GB,1,41999,52900,79512,4.6,4.6,41999,41999,52900,52900,20,20
Apple iPhone XR,4 GB,4,41499,51650,79530,4.6,4.6,39999,41999,47900,52900,16,20
